Year,State,Description,Units,type,Chemical Name,Value,CV (%),Carcinogen,Hormone Disruptor,Neurotoxins,Developmental or Reproductive Toxins,Bee Toxins,Human Toxins
2016,NEW YORK, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,NORTH CAROLINA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"358,487",23.1,NA,NA,NA,NA,NA,NA
2016,NORTH CAROLINA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"1,308",25,NA,NA,NA,NA,NA,NA
2016,NORTH CAROLINA, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,10,13.6,NA,NA,NA,NA,NA,NA
2016,NORTH CAROLINA, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,"358,487",23.2,NA,NA,NA,NA,NA,NA
2016,NORTH CAROLINA, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"1,308",25.1,NA,NA,NA,NA,NA,NA
2016,OREGON, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"1,752,592",25.4,NA,NA,NA,NA,NA,NA
2016,OREGON, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"5,832",24.7,NA,NA,NA,NA,NA,NA
2016,OREGON, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,23,9,NA,NA,NA,NA,NA,NA
2016,OREGON, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,OREGON, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"1,980",12.2,NA,NA,NA,NA,NA,NA
2016,OREGON, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,6,33.5,NA,NA,NA,NA,NA,NA
2016,OREGON, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,OREGON, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"3,852",39.3,NA,NA,NA,NA,NA,NA
2016,WASHINGTON, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"2,917,197",22.3,NA,NA,NA,NA,NA,NA
2016,WASHINGTON, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"10,718",23.4,NA,NA,NA,NA,NA,NA
2016,WASHINGTON, FRESH MARKET - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,52,5.3,NA,NA,NA,NA,NA,NA
2016,WASHINGTON, FRESH MARKET - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,WASHINGTON, FRESH MARKET - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,"10,383",24.2,NA,NA,NA,NA,NA,NA
2016,WASHINGTON, PROCESSING - OPERATIONS WITH SALES,NA,NA,NOP USDA CERTIFIED,6,21.2,NA,NA,NA,NA,NA,NA
2016,WASHINGTON, PROCESSING - SALES, MEASURED IN $,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2016,WASHINGTON, PROCESSING - SALES, MEASURED IN CWT,NA,NOP USDA CERTIFIED,335,49.5,NA,NA,NA,NA,NA,NA
2015,CALIFORNIA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"144,304,480",52,NA,NA,NA,NA,NA,NA
2015,CALIFORNIA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"738,062",47,NA,NA,NA,NA,NA,NA
2015,FLORIDA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,(D),(D),NA,NA,NA,NA,NA,NA
2015,FLORIDA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"8,842",73.6,NA,NA,NA,NA,NA,NA
2015,NEW YORK, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"222,146",49.2,NA,NA,NA,NA,NA,NA
2015,NEW YORK, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"1,871",50.1,NA,NA,NA,NA,NA,NA
2015,NORTH CAROLINA, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"728,216",60.3,NA,NA,NA,NA,NA,NA
2015,NORTH CAROLINA, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"2,355",59.9,NA,NA,NA,NA,NA,NA
2015,OREGON, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"714,604",70.5,NA,NA,NA,NA,NA,NA
2015,OREGON, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"1,755",75.8,NA,NA,NA,NA,NA,NA
2015,WASHINGTON, MEASURED IN $,NA,NA,NOP USDA CERTIFIED,"609,592",(H),NA,NA,NA,NA,NA,NA
2015,WASHINGTON, MEASURED IN CWT,NA,NA,NOP USDA CERTIFIED,"2,627",84,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,AZOXYSTROBIN,"5,500",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BACILLUS AMYLOLIQUEFACIENS MBI 600,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BACILLUS AMYLOLIQUEFACIENS STRAIN D747,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BACILLUS PUMILUS,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BACILLUS SUBT. GB03,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BACILLUS SUBTILIS,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BLAD,"1,200",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BORAX DECAHYDRATE,300,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BOSCALID,"6,200",NA,POSSIBLE,POSSIBLE,NA,NA,NA,SLIGHT
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,BT SUBSP KURSTAKI EVB-113-19,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,CAPTAN,"283,500",NA,KNOWN,KNOWN,NA,NA,NA,HIGH
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,COPPER HYDROXIDE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,COPPER OCTANOATE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,CYFLUFENAMID,400,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,CYPRODINIL,"16,600",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,DIFENOCONAZOLE,900,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,FENHEXAMID,"15,000",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,FLUDIOXONIL,"11,100",NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,FLUOPYRAM,"3,900",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,FLUXAPYROXAD,"3,900",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,FOSETYL-AL,"34,200",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,ISOFETAMID,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,MEFENOXAM,"9,300",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,MONO-POTASSIUM SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,MYCLOBUTANIL,"5,600",NA,NA,NA,NA,PRESENT,NA,HIGH
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,PENTHIOPYRAD,"7,000",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,POLYOXIN D ZINC SALT,"1,400",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,POTASSIUM BICARBON.,"11,300",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,PROPICONAZOLE,"1,600",NA,POSSIBLE,POSSIBLE,NA,PRESENT,SLIGHT,HIGH
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,PYRACLOSTROBIN,"7,400",NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,PYRIMETHANIL,"9,300",NA,POSSIBLE,POSSIBLE,NA,NA,SLIGHT,MODERATE
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,QUINOLINE,"4,800",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,STREPTOMYCES LYDICUS,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,SULFUR,"686,000",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,TETRACONAZOLE,600,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,THIOPHANATE-METHYL,"3,300",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,THIRAM,"90,900",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,TOTAL,"1,233,500",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,TRICHODERMA HARZ.,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,TRIFLOXYSTROBIN,"4,200",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, FUNGICIDE,TRIFLUMIZOLE,"7,200",NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,CARFENTRAZONE-ETHYL,200,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,FLUMIOXAZIN,"1,100",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,GLUFOSINATE-AMMONIUM,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,GLYPHOSATE ISO. SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,GLYPHOSATE POT. SALT,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,"NAPROPAMIDE",(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,OXYFLUORFEN,"1,300",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,PARAQUAT,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,PENDIMETHALIN,"5,500",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,SULFENTRAZONE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, HERBICIDE,TOTAL,"10,200",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,ABAMECTIN,500,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,ACEQUINOCYL,"5,400",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,ACETAMIPRID,"2,800",NA,NA,NA,NA,NA,MODERATE,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,AZADIRACHTIN,800,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BEAUVERIA BASSIANA,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BIFENAZATE,"17,900",NA,NA,NA,NA,NA,MODERATE,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BIFENTHRIN,"7,300",NA,POSSIBLE,POSSIBLE,NA,PRESENT,HIGH,HIGH
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BT KURSTAK ABTS-1857,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BT KURSTAKI ABTS-351,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BT KURSTAKI SA-11,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BT SUB AIZAWAI GC-91,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BUPROFEZIN,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,BURKHOLDERIA A396 CELLS & MEDIA,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,CARBARYL,(D),NA,KNOWN,KNOWN,PRESENT,PRESENT,HIGH,HIGH
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,CHLORANTRANILIPROLE,"1,900",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,CHLORPYRIFOS,(D),NA,NA,NA,PRESENT,NA,HIGH,HIGH
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,CYANTRANILIPROLE,900,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,CYFLUMETOFEN,"5,200",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,ETOXAZOLE,"1,200",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,FENBUTATIN-OXIDE,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,FENPROPATHRIN,"6,000",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,FENPYROXIMATE,400,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,FLONICAMID,"3,300",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,FLUPYRADIFURONE,"4,800",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,HELICOVERPA ZEA NPV,(NA),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,HEXYTHIAZOX,"2,300",NA,PROBABLE,PROBABLE,NA,NA,NA,SLIGHT
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,IMIDACLOPRID,"3,500",NA,NA,NA,NA,NA,HIGH,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,MALATHION,"56,700",NA,POSSIBLE,POSSIBLE,PRESENT,NA,HIGH,HIGH
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,METHOXYFENOZIDE,"3,300",NA,NA,NA,NA,NA,SLIGHT,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,"NALED","12,700",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,NEEM OIL,"1,100",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,"NEEM OIL, CLAR. HYD.","51,600",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,NOVALURON,"4,600",NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,PIPERONYL BUTOXIDE,"1,200",NA,POSSIBLE,POSSIBLE,NA,NA,MODERATE,MODERATE
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,POTASSIUM SALTS,(D),NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,PYRETHRINS,200,NA,NA,NA,NA,NA,NA,NA
2019,CALIFORNIA, MEASURED IN LB,NA, INSECTICIDE,PYRIDABEN,(D),NA,NA,NA,NA,NA,NA,NA
