Program,Year,Period,State,State ANSI,Items,Discription,Units,dname,type,Title,Chemical Name,Number,Value,CV (%),Carcinogen,Hormone Disruptor,Neurotoxins,Developmental or Reproductive Toxins,Bee Toxins,Human Toxins
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",FENHEXAMID, 90209,0.623,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",FLUDIOXONIL, 71503,0.213,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",MYCLOBUTANIL, 128857,0.106,NA,NA,suspected,NA,present,NA,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PROPICONAZOLE, 122101,0.112,NA,possible,suspected,NA,present,slight,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PYRACLOSTROBIN, 99100,0.169,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PYRIMETHANIL, 288201,0.51,NA,possible,suspected,NA,NA,slight,moderate
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",TRIFLOXYSTROBIN, 129112,0.113,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",TRIFLUMIZOLE, 128879,0.23,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",ACETAMIPRID, 99050,0.126,NA,NA,NA,NA,NA,moderate,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",BIFENAZATE, 586,0.496,NA,NA,NA,NA,NA,moderate,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",BIFENTHRIN, 128825,0.109,NA,possible,suspected,NA,present,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",CARBARYL, 56801,(D),NA,known,suspected,present,present,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",CHLORPYRIFOS, 59101,(D),NA,NA,suspected,present,NA,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",FENPROPATHRIN, 127901,0.286,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",HEXYTHIAZOX, 128849,0.177,NA,probable,NA,NA,NA,NA,slight
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",IMIDACLOPRID, 129099,0.515,NA,NA,NA,NA,NA,high,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",MALATHION, 57701,1.991,NA,possible,suspected,present,NA,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",METHOXYFENOZIDE, 121027,0.174,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",PIPERONYL BUTOXIDE, 67501,0.478,NA,possible,suspected,NA,NA,moderate,moderate
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",PYRIPROXYFEN, 129032,0.067,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",SPIROMESIFEN, 24875,0.243,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",THIAMETHOXAM, 60109,0.062,NA,NA,NA,NA,NA,high,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",AZOXYSTROBIN, 128810,0.447,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",BOSCALID, 128008,0.508,NA,possible,NA,NA,NA,NA,slight
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",CAPTAN, 81301,10.456,NA,known,NA,NA,NA,NA,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",CYPRODINIL, 288202,0.765,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",FENHEXAMID, 90209,1.163,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",FLUDIOXONIL, 71503,0.51,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",MYCLOBUTANIL, 128857,0.281,NA,NA,suspected,NA,present,NA,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PROPICONAZOLE, 122101,0.174,NA,possible,suspected,NA,present,slight,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PYRACLOSTROBIN, 99100,0.317,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PYRIMETHANIL, 288201,0.883,NA,possible,suspected,NA,NA,slight,moderate
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",TRIFLOXYSTROBIN, 129112,0.235,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",TRIFLUMIZOLE, 128879,0.55,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",ACETAMIPRID, 99050,0.182,NA,NA,NA,NA,NA,moderate,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",BIFENAZATE, 586,0.978,NA,NA,NA,NA,NA,moderate,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",BIFENTHRIN, 128825,0.346,NA,possible,suspected,NA,present,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",CARBARYL, 56801,(D),NA,known,suspected,present,present,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",CHLORPYRIFOS, 59101,(D),NA,NA,suspected,present,NA,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",FENPROPATHRIN, 127901,0.531,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",HEXYTHIAZOX, 128849,0.269,NA,probable,NA,NA,NA,NA,slight
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",IMIDACLOPRID, 129099,0.793,NA,NA,NA,NA,NA,high,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",MALATHION, 57701,5.571,NA,possible,suspected,present,NA,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",METHOXYFENOZIDE, 121027,0.245,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",PIPERONYL BUTOXIDE, 67501,0.884,NA,possible,suspected,NA,NA,moderate,moderate
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",PYRIPROXYFEN, 129032,0.074,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",SPIROMESIFEN, 24875,0.307,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",THIAMETHOXAM, 60109,0.164,NA,NA,NA,NA,NA,high,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",AZOXYSTROBIN, 128810,2.2,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",BOSCALID, 128008,1.5,NA,possible,NA,NA,NA,NA,slight
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",CAPTAN, 81301,6,NA,known,NA,NA,NA,NA,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",CYPRODINIL, 288202,2.4,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",FENHEXAMID, 90209,1.9,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",FLUDIOXONIL, 71503,2.4,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",MYCLOBUTANIL, 128857,2.6,NA,NA,suspected,NA,present,NA,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PROPICONAZOLE, 122101,1.6,NA,possible,suspected,NA,present,slight,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PYRACLOSTROBIN, 99100,1.9,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",PYRIMETHANIL, 288201,1.7,NA,possible,suspected,NA,NA,slight,moderate
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",TRIFLOXYSTROBIN, 129112,2.1,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, FUNGICIDE,"CHEMICAL, FUNGICIDE",TRIFLUMIZOLE, 128879,2.4,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",ACETAMIPRID, 99050,1.4,NA,NA,NA,NA,NA,moderate,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",BIFENAZATE, 586,2,NA,NA,NA,NA,NA,moderate,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",BIFENTHRIN, 128825,3.2,NA,possible,suspected,NA,present,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",CARBARYL, 56801,(D),NA,known,suspected,present,present,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",CHLORPYRIFOS, 59101,(D),NA,NA,suspected,present,NA,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",FENPROPATHRIN, 127901,1.9,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",HEXYTHIAZOX, 128849,1.5,NA,probable,NA,NA,NA,NA,slight
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",IMIDACLOPRID, 129099,1.5,NA,NA,NA,NA,NA,high,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",MALATHION, 57701,2.8,NA,possible,suspected,present,NA,high,high
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",METHOXYFENOZIDE, 121027,1.4,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",PIPERONYL BUTOXIDE, 67501,1.8,NA,possible,suspected,NA,NA,moderate,moderate
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",PYRIPROXYFEN, 129032,1.1,NA,NA,NA,NA,NA,slight,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG,CHEMICAL, INSECTICIDE,"CHEMICAL, INSECTICIDE",SPIROMESIFEN, 24875,1.3,NA,NA,NA,NA,NA,NA,NA
