Program,Year,Period,State,State ANSI,Items,Discription,Units,Value,Title,Chemical Name,Number,CV (%),Carcinogen,Hormone Disruptor,Neurotoxins,Developmental or Reproductive Toxins,Bee Toxins,Human Toxins
CENSUS,2019,YEAR,OREGON,41, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,"505,658",ORGANIC STATUS,NOP USDA CERTIFIED,NA,59.6,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,OREGON,41, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,"1,004",ORGANIC STATUS,NOP USDA CERTIFIED,NA,38.9,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,OREGON,41, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,3,ORGANIC STATUS,NOP USDA CERTIFIED,NA,(H),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,OREGON,41, ORGANIC, PROCESSING - SALES, MEASURED IN $,"1,223,151",ORGANIC STATUS,NOP USDA CERTIFIED,NA,(H),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,OREGON,41, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,"4,077",ORGANIC STATUS,NOP USDA CERTIFIED,NA,(H),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC - OPERATIONS WITH SALES,NA,NA,57,ORGANIC STATUS,NOP USDA CERTIFIED,NA,40.1,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC - SALES, MEASURED IN $,NA,"745,009",ORGANIC STATUS,NOP USDA CERTIFIED,NA,67.2,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC - SALES, MEASURED IN CWT,NA,"2,428",ORGANIC STATUS,NOP USDA CERTIFIED,NA,78.4,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,53,ORGANIC STATUS,NOP USDA CERTIFIED,NA,40.5,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,"2,404",ORGANIC STATUS,NOP USDA CERTIFIED,NA,79.4,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,6,ORGANIC STATUS,NOP USDA CERTIFIED,NA,89.2,NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC, PROCESSING - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2019,YEAR,WASHINGTON,53, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,23,ORGANIC STATUS,NOP USDA CERTIFIED,NA,80.9,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC - OPERATIONS WITH SALES,NA,NA,189,ORGANIC STATUS,NOP USDA CERTIFIED,NA,4.7,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC - SALES, MEASURED IN $,NA,"231,304,956",ORGANIC STATUS,NOP USDA CERTIFIED,NA,13.7,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC - SALES, MEASURED IN CWT,NA,"1,446,458",ORGANIC STATUS,NOP USDA CERTIFIED,NA,13.5,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,184,ORGANIC STATUS,NOP USDA CERTIFIED,NA,4.9,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,"211,553,703",ORGANIC STATUS,NOP USDA CERTIFIED,NA,13.5,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,"1,221,571",ORGANIC STATUS,NOP USDA CERTIFIED,NA,12.9,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,48,ORGANIC STATUS,NOP USDA CERTIFIED,NA,4.4,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC, PROCESSING - SALES, MEASURED IN $,"19,751,253",ORGANIC STATUS,NOP USDA CERTIFIED,NA,19.7,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,CALIFORNIA,6, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,"224,886",ORGANIC STATUS,NOP USDA CERTIFIED,NA,21,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC - OPERATIONS WITH SALES,NA,NA,9,ORGANIC STATUS,NOP USDA CERTIFIED,NA,13,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC - SALES, MEASURED IN $,NA,"2,455,805",ORGANIC STATUS,NOP USDA CERTIFIED,NA,21.9,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC - SALES, MEASURED IN CWT,NA,"14,532",ORGANIC STATUS,NOP USDA CERTIFIED,NA,23.1,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,9,ORGANIC STATUS,NOP USDA CERTIFIED,NA,14,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,2,ORGANIC STATUS,NOP USDA CERTIFIED,NA,38.5,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC, PROCESSING - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,FLORIDA,12, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC - OPERATIONS WITH SALES,NA,NA,32,ORGANIC STATUS,NOP USDA CERTIFIED,NA,11.9,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC - SALES, MEASURED IN $,NA,"459,144",ORGANIC STATUS,NOP USDA CERTIFIED,NA,22.7,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC - SALES, MEASURED IN CWT,NA,"1,012",ORGANIC STATUS,NOP USDA CERTIFIED,NA,19.6,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,32,ORGANIC STATUS,NOP USDA CERTIFIED,NA,11.9,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,1,ORGANIC STATUS,NOP USDA CERTIFIED,NA,(H),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC, PROCESSING - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NEW YORK,36, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NORTH CAROLINA,37, ORGANIC - OPERATIONS WITH SALES,NA,NA,10,ORGANIC STATUS,NOP USDA CERTIFIED,NA,13.6,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NORTH CAROLINA,37, ORGANIC - SALES, MEASURED IN $,NA,"358,487",ORGANIC STATUS,NOP USDA CERTIFIED,NA,23.1,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NORTH CAROLINA,37, ORGANIC - SALES, MEASURED IN CWT,NA,"1,308",ORGANIC STATUS,NOP USDA CERTIFIED,NA,25,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NORTH CAROLINA,37, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,10,ORGANIC STATUS,NOP USDA CERTIFIED,NA,13.6,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NORTH CAROLINA,37, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,"358,487",ORGANIC STATUS,NOP USDA CERTIFIED,NA,23.2,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,NORTH CAROLINA,37, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,"1,308",ORGANIC STATUS,NOP USDA CERTIFIED,NA,25.1,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC - OPERATIONS WITH SALES,NA,NA,25,ORGANIC STATUS,NOP USDA CERTIFIED,NA,9.2,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC - SALES, MEASURED IN $,NA,"1,752,592",ORGANIC STATUS,NOP USDA CERTIFIED,NA,25.4,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC - SALES, MEASURED IN CWT,NA,"5,832",ORGANIC STATUS,NOP USDA CERTIFIED,NA,24.7,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,23,ORGANIC STATUS,NOP USDA CERTIFIED,NA,9,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,"1,980",ORGANIC STATUS,NOP USDA CERTIFIED,NA,12.2,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,6,ORGANIC STATUS,NOP USDA CERTIFIED,NA,33.5,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC, PROCESSING - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,OREGON,41, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,"3,852",ORGANIC STATUS,NOP USDA CERTIFIED,NA,39.3,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC - OPERATIONS WITH SALES,NA,NA,52,ORGANIC STATUS,NOP USDA CERTIFIED,NA,5.3,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC - SALES, MEASURED IN $,NA,"2,917,197",ORGANIC STATUS,NOP USDA CERTIFIED,NA,22.3,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC - SALES, MEASURED IN CWT,NA,"10,718",ORGANIC STATUS,NOP USDA CERTIFIED,NA,23.4,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,52,ORGANIC STATUS,NOP USDA CERTIFIED,NA,5.3,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC, FRESH MARKET - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT,"10,383",ORGANIC STATUS,NOP USDA CERTIFIED,NA,24.2,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,6,ORGANIC STATUS,NOP USDA CERTIFIED,NA,21.2,NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC, PROCESSING - SALES, MEASURED IN $,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2016,YEAR,WASHINGTON,53, ORGANIC, PROCESSING - SALES, MEASURED IN CWT,335,ORGANIC STATUS,NOP USDA CERTIFIED,NA,49.5,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,CALIFORNIA,6, ORGANIC - OPERATIONS WITH SALES,NA,NA,175,ORGANIC STATUS,NOP USDA CERTIFIED,NA,9.2,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,CALIFORNIA,6, ORGANIC - SALES, MEASURED IN $,NA,"144,304,480",ORGANIC STATUS,NOP USDA CERTIFIED,NA,52,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,CALIFORNIA,6, ORGANIC - SALES, MEASURED IN CWT,NA,"738,062",ORGANIC STATUS,NOP USDA CERTIFIED,NA,47,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,FLORIDA,12, ORGANIC - OPERATIONS WITH SALES,NA,NA,11,ORGANIC STATUS,NOP USDA CERTIFIED,NA,45.5,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,FLORIDA,12, ORGANIC - SALES, MEASURED IN $,NA,(D),ORGANIC STATUS,NOP USDA CERTIFIED,NA,(D),NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,FLORIDA,12, ORGANIC - SALES, MEASURED IN CWT,NA,"8,842",ORGANIC STATUS,NOP USDA CERTIFIED,NA,73.6,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,NEW YORK,36, ORGANIC - OPERATIONS WITH SALES,NA,NA,21,ORGANIC STATUS,NOP USDA CERTIFIED,NA,36.6,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,NEW YORK,36, ORGANIC - SALES, MEASURED IN $,NA,"222,146",ORGANIC STATUS,NOP USDA CERTIFIED,NA,49.2,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,NEW YORK,36, ORGANIC - SALES, MEASURED IN CWT,NA,"1,871",ORGANIC STATUS,NOP USDA CERTIFIED,NA,50.1,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,NORTH CAROLINA,37, ORGANIC - OPERATIONS WITH SALES,NA,NA,11,ORGANIC STATUS,NOP USDA CERTIFIED,NA,25.2,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,NORTH CAROLINA,37, ORGANIC - SALES, MEASURED IN $,NA,"728,216",ORGANIC STATUS,NOP USDA CERTIFIED,NA,60.3,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,NORTH CAROLINA,37, ORGANIC - SALES, MEASURED IN CWT,NA,"2,355",ORGANIC STATUS,NOP USDA CERTIFIED,NA,59.9,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,OREGON,41, ORGANIC - OPERATIONS WITH SALES,NA,NA,22,ORGANIC STATUS,NOP USDA CERTIFIED,NA,63.1,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,OREGON,41, ORGANIC - SALES, MEASURED IN $,NA,"714,604",ORGANIC STATUS,NOP USDA CERTIFIED,NA,70.5,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,OREGON,41, ORGANIC - SALES, MEASURED IN CWT,NA,"1,755",ORGANIC STATUS,NOP USDA CERTIFIED,NA,75.8,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,WASHINGTON,53, ORGANIC - OPERATIONS WITH SALES,NA,NA,42,ORGANIC STATUS,NOP USDA CERTIFIED,NA,35,NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,WASHINGTON,53, ORGANIC - SALES, MEASURED IN $,NA,"609,592",ORGANIC STATUS,NOP USDA CERTIFIED,NA,(H),NA,NA,NA,NA,NA,NA
CENSUS,2015,YEAR,WASHINGTON,53, ORGANIC - SALES, MEASURED IN CWT,NA,"2,627",ORGANIC STATUS,NOP USDA CERTIFIED,NA,84,NA,NA,NA,NA,NA,NA
SURVEY,2020,YEAR,CALIFORNIA,6, MEASURED IN CWT / ACRE,NA,NA,650,NOT SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA
SURVEY,2020,YEAR,CALIFORNIA,6, MEASURED IN TONS / ACRE,NA,NA,32.48,NOT SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA
SURVEY,2020,YEAR,FLORIDA,12, MEASURED IN CWT / ACRE,NA,NA,180,NOT SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA
SURVEY,2020,YEAR,FLORIDA,12, MEASURED IN TONS / ACRE,NA,NA,8.99,NOT SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, MEASURED IN CWT / ACRE,NA,NA,610,NOT SPECIFIED,NA,NA,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,"5,500","CHEMICAL, FUNGICIDE",AZOXYSTROBIN, 128810,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,(NA),"CHEMICAL, FUNGICIDE",BACILLUS AMYLOLIQUEFACIENS MBI 600, 129082,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,(NA),"CHEMICAL, FUNGICIDE",BACILLUS AMYLOLIQUEFACIENS STRAIN D747, 16482,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,(NA),"CHEMICAL, FUNGICIDE",BACILLUS PUMILUS, 6485,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,(NA),"CHEMICAL, FUNGICIDE",BACILLUS SUBT. GB03, 129068,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,(NA),"CHEMICAL, FUNGICIDE",BACILLUS SUBTILIS, 6479,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,"1,200","CHEMICAL, FUNGICIDE",BLAD, 30006,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,300,"CHEMICAL, FUNGICIDE",BORAX DECAHYDRATE, 11102,NA,NA,NA,NA,NA,NA,NA
SURVEY,2019,YEAR,CALIFORNIA,6, BEARING - APPLICATIONS, MEASURED IN LB,NA,"6,200","CHEMICAL, FUNGICIDE",BOSCALID, 128008,NA,possible,NA,NA,NA,NA,slight
