"Program","Year","Period","State","State ANSI","Strawberries","Items","Discription","Units","Status","Type","Chemicals Names","Number","Value","CV (%)"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1","(H)"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"10","13.6"
1,2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"358,487","23.1"
1,2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,308","25"
1,2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"10","13.6"
1,2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"358,487","23.2"
1,2016,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,308","25.1"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"25","9.2"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,752,592","25.4"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"5,832","24.7"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"23","9"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,980","12.2"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"6","33.5"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"3,852","39.3"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"52","5.3"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2,917,197","22.3"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"10,718","23.4"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"52","5.3"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," FRESH MARKET - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"10,383","24.2"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - OPERATIONS WITH SALES",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"6","21.2"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN $","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2016,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC"," PROCESSING - SALES"," MEASURED IN CWT","ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"335","49.5"
1,2015,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"175","9.2"
1,2015,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"144,304,480","52"
1,2015,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"738,062","47"
1,2015,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"11","45.5"
1,2015,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"(D)","(D)"
1,2015,"YEAR","FLORIDA",12,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"8,842","73.6"
1,2015,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"21","36.6"
1,2015,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"222,146","49.2"
1,2015,"YEAR","NEW YORK",36,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,871","50.1"
1,2015,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"11","25.2"
1,2015,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"728,216","60.3"
1,2015,"YEAR","NORTH CAROLINA",37,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2,355","59.9"
1,2015,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"22","63.1"
1,2015,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"714,604","70.5"
1,2015,"YEAR","OREGON",41,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"1,755","75.8"
1,2015,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - OPERATIONS WITH SALES",NA,NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"42","35"
1,2015,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN $",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"609,592","(H)"
1,2015,"YEAR","WASHINGTON",53,"STRAWBERRIES"," ORGANIC - SALES"," MEASURED IN CWT",NA,"ORGANIC STATUS",NA,"NOP USDA CERTIFIED",NA,"2,627","84"
0,2020,"YEAR","CALIFORNIA",6,"STRAWBERRIES - YIELD"," MEASURED IN CWT / ACRE",NA,NA,"TOTAL",NA,"NOT SPECIFIED",NA,"650",NA
0,2020,"YEAR","CALIFORNIA",6,"STRAWBERRIES - YIELD"," MEASURED IN TONS / ACRE",NA,NA,"TOTAL",NA,"NOT SPECIFIED",NA,"32.48",NA
0,2020,"YEAR","FLORIDA",12,"STRAWBERRIES - YIELD"," MEASURED IN CWT / ACRE",NA,NA,"TOTAL",NA,"NOT SPECIFIED",NA,"180",NA
0,2020,"YEAR","FLORIDA",12,"STRAWBERRIES - YIELD"," MEASURED IN TONS / ACRE",NA,NA,"TOTAL",NA,"NOT SPECIFIED",NA,"8.99",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES - YIELD"," MEASURED IN CWT / ACRE",NA,NA,"TOTAL",NA,"NOT SPECIFIED",NA,"610",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","AZOXYSTROBIN ",128810,"5,500",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS MBI 600 ",129082,"(NA)",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747 ",16482,"(NA)",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BACILLUS PUMILUS ",6485,"(NA)",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BACILLUS SUBT. GB03 ",129068,"(NA)",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BACILLUS SUBTILIS ",6479,"(NA)",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BLAD ",30006,"1,200",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BORAX DECAHYDRATE ",11102,"300",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BOSCALID ",128008,"6,200",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19 ",6544,"(NA)",NA
0,2019,"YEAR","CALIFORNIA",6,"STRAWBERRIES"," BEARING - APPLICATIONS"," MEASURED IN LB",NA,"CHEMICAL"," FUNGICIDE","CAPTAN ",81301,"283,500",NA
