"Year","State","State ANSI","Items","Discription","Units","Type","Pesticide","Number","Value","Carcinogen","Hormone Disruptor","Neurotoxins","Developmental or Reproductive Toxins","Bee Toxins"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BIFENTHRIN",128825,"7,300","possible","suspected",NA,"present","high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","CARBARYL",56801,"(D)","known","suspected","present","present","high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","CHLORPYRIFOS",59101,"(D)",NA,"suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","FENPROPATHRIN",127901,"6,000",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","HEXYTHIAZOX",128849,"2,300","probable",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","IMIDACLOPRID",129099,"3,500",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","MALATHION",57701,"56,700","possible","suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","METHOXYFENOZIDE",121027,"3,300",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","PIPERONYL BUTOXIDE",67501,"1,200","possible","suspected",NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","PYRIPROXYFEN",129032,"100",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","SPIROMESIFEN",24875,"1,800",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","THIAMETHOXAM",60109,"1,400",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","AZOXYSTROBIN",128810,"0.205",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","BOSCALID",128008,"0.337","possible",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","CAPTAN",81301,"1.739","known",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","CYPRODINIL",288202,"0.32",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","FENHEXAMID",90209,"0.623",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","FLUDIOXONIL",71503,"0.213",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","MYCLOBUTANIL",128857,"0.106",NA,"suspected",NA,"present",NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","PROPICONAZOLE",122101,"0.112","possible","suspected",NA,"present","slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","PYRACLOSTROBIN",99100,"0.169",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","PYRIMETHANIL",288201,"0.51","possible","suspected",NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,"0.113",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","TRIFLUMIZOLE",128879,"0.23",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","ACETAMIPRID",99050,"0.126",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","BIFENAZATE",586,"0.496",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","BIFENTHRIN",128825,"0.109","possible","suspected",NA,"present","high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","CARBARYL",56801,"(D)","known","suspected","present","present","high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","CHLORPYRIFOS",59101,"(D)",NA,"suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","FENPROPATHRIN",127901,"0.286",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","HEXYTHIAZOX",128849,"0.177","probable",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","IMIDACLOPRID",129099,"0.515",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","MALATHION",57701,"1.991","possible","suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","METHOXYFENOZIDE",121027,"0.174",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","PIPERONYL BUTOXIDE",67501,"0.478","possible","suspected",NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","PYRIPROXYFEN",129032,"0.067",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","SPIROMESIFEN",24875,"0.243",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","INSECTICIDE","THIAMETHOXAM",60109,"0.062",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","AZOXYSTROBIN",128810,"0.447",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","BOSCALID",128008,"0.508","possible",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","CAPTAN",81301,"10.456","known",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","CYPRODINIL",288202,"0.765",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","FENHEXAMID",90209,"1.163",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","FLUDIOXONIL",71503,"0.51",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","MYCLOBUTANIL",128857,"0.281",NA,"suspected",NA,"present",NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","PROPICONAZOLE",122101,"0.174","possible","suspected",NA,"present","slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","PYRACLOSTROBIN",99100,"0.317",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","PYRIMETHANIL",288201,"0.883","possible","suspected",NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,"0.235",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","FUNGICIDE","TRIFLUMIZOLE",128879,"0.55",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","ACETAMIPRID",99050,"0.182",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","BIFENAZATE",586,"0.978",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","BIFENTHRIN",128825,"0.346","possible","suspected",NA,"present","high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","CARBARYL",56801,"(D)","known","suspected","present","present","high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","CHLORPYRIFOS",59101,"(D)",NA,"suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","FENPROPATHRIN",127901,"0.531",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","HEXYTHIAZOX",128849,"0.269","probable",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","IMIDACLOPRID",129099,"0.793",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","MALATHION",57701,"5.571","possible","suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","METHOXYFENOZIDE",121027,"0.245",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","PIPERONYL BUTOXIDE",67501,"0.884","possible","suspected",NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","PYRIPROXYFEN",129032,"0.074",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","SPIROMESIFEN",24875,"0.307",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / YEAR","AVG","INSECTICIDE","THIAMETHOXAM",60109,"0.164",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","AZOXYSTROBIN",128810,"2.2",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","BOSCALID",128008,"1.5","possible",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","CAPTAN",81301,"6","known",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","CYPRODINIL",288202,"2.4",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","FENHEXAMID",90209,"1.9",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","FLUDIOXONIL",71503,"2.4",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","MYCLOBUTANIL",128857,"2.6",NA,"suspected",NA,"present",NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","PROPICONAZOLE",122101,"1.6","possible","suspected",NA,"present","slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","PYRACLOSTROBIN",99100,"1.9",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","PYRIMETHANIL",288201,"1.7","possible","suspected",NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,"2.1",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","FUNGICIDE","TRIFLUMIZOLE",128879,"2.4",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","ACETAMIPRID",99050,"1.4",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","BIFENAZATE",586,"2",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","BIFENTHRIN",128825,"3.2","possible","suspected",NA,"present","high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","CARBARYL",56801,"(D)","known","suspected","present","present","high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","CHLORPYRIFOS",59101,"(D)",NA,"suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","FENPROPATHRIN",127901,"1.9",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","HEXYTHIAZOX",128849,"1.5","probable",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","IMIDACLOPRID",129099,"1.5",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","MALATHION",57701,"2.8","possible","suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","METHOXYFENOZIDE",121027,"1.4",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","PIPERONYL BUTOXIDE",67501,"1.8","possible","suspected",NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","PYRIPROXYFEN",129032,"1.1",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","SPIROMESIFEN",24875,"1.3",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - APPLICATIONS","MEASURED IN NUMBER","AVG","INSECTICIDE","THIAMETHOXAM",60109,"2.7",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","AZOXYSTROBIN",128810,"34",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","BOSCALID",128008,"34","possible",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","CAPTAN",81301,"76","known",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","CYPRODINIL",288202,"61",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","FENHEXAMID",90209,"36",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","FLUDIOXONIL",71503,"61",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","MYCLOBUTANIL",128857,"56",NA,"suspected",NA,"present",NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","PROPICONAZOLE",122101,"25","possible","suspected",NA,"present","slight"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","PYRACLOSTROBIN",99100,"65",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","PYRIMETHANIL",288201,"29","possible","suspected",NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","TRIFLOXYSTROBIN",129112,"50",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","FUNGICIDE","TRIFLUMIZOLE",128879,"37",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","ACETAMIPRID",99050,"42",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","BIFENAZATE",586,"51",NA,NA,NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","BIFENTHRIN",128825,"58","possible","suspected",NA,"present","high"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","CARBARYL",56801,"(D)","known","suspected","present","present","high"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","CHLORPYRIFOS",59101,"(D)",NA,"suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","FENPROPATHRIN",127901,"31",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","HEXYTHIAZOX",128849,"24","probable",NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","IMIDACLOPRID",129099,"12",NA,NA,NA,NA,"high"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","MALATHION",57701,"28","possible","suspected","present",NA,"high"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","METHOXYFENOZIDE",121027,"37",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","PIPERONYL BUTOXIDE",67501,"4","possible","suspected",NA,NA,"moderate"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","PYRIPROXYFEN",129032,"5",NA,NA,NA,NA,"slight"
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","SPIROMESIFEN",24875,"17",NA,NA,NA,NA,NA
2019,"CALIFORNIA",6,"BEARING - TREATED","MEASURED IN PCT OF AREA BEARING","AVG","INSECTICIDE","THIAMETHOXAM",60109,"24",NA,NA,NA,NA,"high"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","AZOXYSTROBIN",128810,"12,000",NA,NA,NA,NA,NA
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","CAPTAN",81301,"146,100","known",NA,NA,NA,NA
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","CYPRODINIL",288202,"4,100",NA,NA,NA,NA,NA
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FENHEXAMID",90209,"(D)",NA,NA,NA,NA,NA
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","FLUDIOXONIL",71503,"2,700",NA,NA,NA,NA,"slight"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","MYCLOBUTANIL",128857,"(D)",NA,"suspected",NA,"present",NA
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PYRACLOSTROBIN",99100,"(D)",NA,NA,NA,NA,"slight"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","PYRIMETHANIL",288201,"(D)","possible","suspected",NA,NA,"slight"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"FUNGICIDE","TRIFLUMIZOLE",128879,"(D)",NA,NA,NA,NA,"slight"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","ACETAMIPRID",99050,"200",NA,NA,NA,NA,"moderate"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BIFENAZATE",586,"700",NA,NA,NA,NA,"moderate"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","BIFENTHRIN",128825,"300","possible","suspected",NA,"present","high"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","HEXYTHIAZOX",128849,"(D)","probable",NA,NA,NA,NA
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","IMIDACLOPRID",129099,"(D)",NA,NA,NA,NA,"high"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","MALATHION",57701,"(D)","possible","suspected","present",NA,"high"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","METHOXYFENOZIDE",121027,"(D)",NA,NA,NA,NA,"slight"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","SPIROMESIFEN",24875,"(D)",NA,NA,NA,NA,NA
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB",NA,"INSECTICIDE","THIAMETHOXAM",60109,"100",NA,NA,NA,NA,"high"
2019,"FLORIDA",12,"BEARING - APPLICATIONS","MEASURED IN LB / ACRE / APPLICATION","AVG","FUNGICIDE","AZOXYSTROBIN",128810,"0.858",NA,NA,NA,NA,NA
